fold,train_start,train_end,test_start,test_end,rmse,accuracy,sharpe,max_drawdown,information_coefficient,observations
0,2023-02-01 00:00:00+00:00,2023-05-23 00:00:00+00:00,2023-05-24 00:00:00+00:00,2023-06-20 00:00:00+00:00,0.0023934855333207932,0.75,9.642553407620142,-0.0030174759848099475,0.19849624060150375,20
1,2023-02-01 00:00:00+00:00,2023-06-20 00:00:00+00:00,2023-06-21 00:00:00+00:00,2023-07-18 00:00:00+00:00,0.004050356079933463,0.5,0.17768287429387897,-0.011736144595112075,-0.11428571428571428,20
2,2023-02-01 00:00:00+00:00,2023-07-18 00:00:00+00:00,2023-07-19 00:00:00+00:00,2023-08-15 00:00:00+00:00,0.0031624888356160032,0.4,1.022089368728309,-0.013766092280865672,0.2467093066533929,20
3,2023-02-01 00:00:00+00:00,2023-08-15 00:00:00+00:00,2023-08-16 00:00:00+00:00,2023-09-12 00:00:00+00:00,0.002559035311835513,0.6,5.246612880767399,-0.009391390245553022,0.22790524364627454,20
4,2023-02-01 00:00:00+00:00,2023-09-12 00:00:00+00:00,2023-09-13 00:00:00+00:00,2023-10-10 00:00:00+00:00,0.004956532048664492,0.3,-9.725335881959806,-0.05231103807294035,0.17826251730748208,20
